id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
174828,Home in Austin · ★4.88 · 4 bedrooms · 4 beds · 2 baths,835236,Jenny,,78752,30.33238,-97.71233,Entire home/apt,249,2,371,2023-05-30,2.54,1,169,13,
184853,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,518748,Rachel,,78704,30.24106,-97.77315,Entire home/apt,130,30,8,2023-08-01,0.15,2,105,3,
195674,Home in Austin · ★4.95 · 4 bedrooms · 5 beds · 2.5 baths,951551,Lori,,78704,30.25775,-97.76703,Entire home/apt,750,2,40,2023-03-17,0.31,1,330,2,
202187,Guesthouse in Austin · ★4.87 · 1 bedroom · 2 beds · 1 bath,989596,John,,78704,30.24867,-97.74678,Entire home/apt,72,1,979,2023-08-09,6.72,2,229,77,
202753,Loft in Austin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,729047,Tracy,,78703,30.276272,-97.757103,Private room,200,3,15,2023-03-17,0.23,1,38,1,
207054,Home in Austin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,1018853,Merri Gale & Donald,,78741,30.24434,-97.73069,Entire home/apt,136,3,206,2023-07-30,1.42,1,78,16,
208897,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 1 bath,1029071,Suzanne,,78702,30.263203,-97.699829,Entire home/apt,152,2,158,2023-08-21,1.37,1,166,31,
210834,Home in Austin · ★4.89 · 3 bedrooms · 5 beds · 2.5 baths,1039968,Megan,,78704,30.2527,-97.74385,Entire home/apt,485,3,19,2022-12-28,0.15,2,36,9,
214795,Condo in Austin · ★4.97 · 1 bedroom · 1 bed · 1 bath,1109019,Kristi,,78704,30.25175,-97.77242,Entire home/apt,67,2,105,2022-10-31,0.72,1,12,5,
218402,Home in Austin · ★4.73 · 1 bedroom · 1 bed · 1 private bath,1129520,Paulette,,78754,30.36145,-97.64397,Private room,30,28,28,2023-07-20,0.19,1,255,1,
219168,Rental unit in Austin · ★4.88 · Studio · 1 bed · 1 bath,1134580,Kalu,,78704,30.24519,-97.74486,Entire home/apt,250,2,8,2016-10-09,0.06,1,0,0,
222986,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 2 baths,1157982,Lyon,,78702,30.25753,-97.7313,Entire home/apt,500,20,53,2017-10-01,0.37,5,230,0,
224603,Guesthouse in Austin · ★4.94 · Studio · 1 bed · 1 bath,1169129,David And Kristy,,78751,30.30732,-97.72782,Entire home/apt,108,60,115,2023-08-13,0.79,4,178,1,
227372,Home in Austin · ★4.89 · 3 bedrooms · 5 beds · 2.5 baths,51183342,Hunter,,78704,30.247942,-97.749763,Entire home/apt,394,1,266,2023-08-31,1.90,9,173,29,
233930,Home in Austin · ★4.94 · 2 bedrooms · 2 beds · 1 bath,578211,Pete,,78751,30.30289,-97.72961,Entire home/apt,165,20,102,2023-08-14,0.72,10,315,4,
238657,Home in Austin · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1250939,Kerry,,78704,30.252,-97.75628,Entire home/apt,158,1,206,2023-09-04,2.07,4,202,42,
240541,Guesthouse in Austin · ★4.61 · 1 bedroom · 1 bed · 1 bath,1246229,Elizabeth,,78702,30.25424,-97.72587,Entire home/apt,49,1,776,2023-09-02,5.52,3,45,113,
247770,Home in Austin · 3 bedrooms · 2 beds,1298575,Gloria,,78723,30.30339,-97.68465,Entire home/apt,175,2,1,2012-03-13,0.01,1,0,0,
248515,Home in Austin · ★4.83 · 2 bedrooms · 2 beds · 1 bath,1208485,Caitlin,,78702,30.25572,-97.72874,Entire home/apt,201,2,186,2023-08-25,1.33,2,73,27,
252804,Home in Austin · ★4.67 · 3 bedrooms · 3 beds · 1.5 baths,1327500,Brooks,,78704,30.23254,-97.75479,Entire home/apt,100,30,94,2021-09-24,0.65,1,0,0,
254232,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,1335409,Eric,,78703,30.278654098510742,-97.75550842285156,Entire home/apt,525,7,6,2022-10-31,0.04,2,314,1,
271052,Condo in Austin · ★4.89 · 2 bedrooms · 2 beds · 2 baths,1418696,Kelsey,,78704,30.25367,-97.77253,Entire home/apt,250,3,46,2023-03-19,0.33,1,342,6,
277028,Home in Austin · ★4.69 · 5 bedrooms · 13 beds · 2.5 baths,746455,Michael,,78703,30.28332,-97.76272,Entire home/apt,251,1,119,2023-05-21,0.83,5,260,6,
281182,Home in Austin · ★4.90 · 3 bedrooms · 3 beds · 2.5 baths,1465788,Michelle,,78702,30.28032,-97.70708,Entire home/apt,350,2,52,2023-05-07,0.37,1,158,3,
282342,Rental unit in Austin · ★4.77 · 3 bedrooms · 3 beds · 2.5 baths,1471597,Teresa,,78758,30.36774,-97.7078,Entire home/apt,86,30,30,2022-11-04,0.21,1,0,1,
295275,Home in Austin · ★4.86 · 3 bedrooms · 3 beds · 2 baths,1282837,Joseph,,78745,30.19037,-97.79003,Entire home/apt,191,30,66,2023-08-26,0.47,2,323,2,
300574,Guesthouse in Austin · ★4.88 · 1 bedroom · 3 beds · 1 bath,167892,Veronica,,78704,30.25508,-97.75767,Entire home/apt,135,2,459,2023-09-04,3.26,1,331,40,
304808,Home in Austin · ★4.83 · 1 bedroom · 1 bed · 1 private bath,1566930,Chris,,78702,30.2733,-97.7269,Private room,81,2,364,2023-07-15,2.57,1,313,27,
304866,Guesthouse in Austin · ★4.82 · 1 bedroom · 2 beds · 1 bath,1568741,Jim O',,78745,30.20943,-97.77117,Entire home/apt,80,3,182,2023-05-29,1.29,17,347,12,
305392,Home in Austin · ★5.0 · 5 bedrooms · 5 beds · 3 baths,117233,Paige,,78702,30.25688,-97.73244,Entire home/apt,695,3,13,2022-03-17,0.10,1,0,0,
315239,Home in Austin · 3 bedrooms · 3 beds · 2 baths,1617870,John,,78745,30.21467,-97.77901,Entire home/apt,600,3,2,2014-03-17,0.02,1,365,0,
316630,Home in Austin · ★4.89 · 2 bedrooms · 2 beds · 1 bath,1626165,Gretchen,,78704,30.25472,-97.75562,Entire home/apt,400,3,9,2015-03-24,0.06,1,0,0,
319759,Townhouse in Austin · ★4.84 · 5 bedrooms · 9 beds · 3.5 baths,814883,Kristen,,78702,30.26585,-97.73328,Entire home/apt,321,1,316,2023-08-15,2.26,13,279,40,
319887,Home in Austin · 2 bedrooms · 3 beds · 1 bath,1640158,Jeremy,,78702,30.25328,-97.72968,Entire home/apt,694,4,2,2015-03-18,0.02,1,0,0,
319894,Home in Austin · ★4.84 · 3 bedrooms · 3 beds · 2.5 baths,1640172,Gary,,78724,30.28354,-97.64966,Entire home/apt,187,2,200,2023-09-04,1.43,2,230,30,
322834,Home in Austin · ★4.80 · 3 bedrooms · 5 beds · 2 baths,3797734,Leslie And Dylan,,78702,30.26849,-97.71874,Entire home/apt,240,4,47,2018-03-25,0.34,1,0,0,
323733,Condo in Austin · ★4.85 · 2 bedrooms · 2 beds · 1 bath,1654178,Erik,,78701,30.26843,-97.74548,Entire home/apt,178,1,361,2019-10-25,2.59,1,0,0,
324480,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,1660476,Mark,,78705,30.29905,-97.73881,Entire home/apt,99,30,1,2022-09-20,0.08,2,363,1,
325889,Home in Austin · ★4.75 · 5 bedrooms · 6 beds · 2 baths,1666874,Brian,,78704,30.24583,-97.75472,Entire home/apt,799,3,92,2023-09-04,0.66,1,337,17,
326172,Guesthouse in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,1665442,Lionel,,78756,30.326650619506836,-97.74362182617188,Entire home/apt,7098,30,23,2023-06-01,0.16,1,38,1,
329172,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1680871,Janet,,78746,30.30085,-97.80794,Entire home/apt,495,3,7,2022-08-07,0.05,1,346,0,
329306,Home in Austin · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,880571,Angel,,78702,30.27232,-97.72579,Private room,68,2,604,2023-08-27,4.32,6,56,46,
331549,Place to stay in Austin · 1 bedroom · 1 bed · 1 bath,1690383,Sandra,,78725,30.23911,-97.58625,Private room,100,2,0,,,1,0,0,
333442,Home in Austin · ★4.84 · 5 bedrooms · 5 beds · 3 baths,1698318,Virginia,,78703,30.31267,-97.76641,Entire home/apt,256,3,175,2023-08-28,1.32,1,283,15,
333815,Home in Austin · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,372962,Kim,,78704,30.25381,-97.75262,Private room,102,2,171,2023-08-17,1.23,1,46,10,
334616,Condo in Austin · 2 bedrooms · 2 beds · 1 bath,608539,D,,78741,30.24481,-97.72379,Entire home/apt,250,1,2,2013-03-17,0.01,1,0,0,
335231,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1665428,Krista,,78704,30.23841,-97.74402,Entire home/apt,95,28,1,2012-03-15,0.01,1,40,0,
335945,Home in Austin · ★4.56 · 2 bedrooms · 2 beds · 2 baths,1555683,Patrick,,78741,30.24026,-97.73338,Entire home/apt,149,3,34,2022-11-01,0.24,1,173,2,
337125,Home in Austin · ★4.79 · 1 bedroom · 2 beds,261883,Carolyn,,78759,30.42035,-97.76685,Private room,80,32,33,2015-10-06,0.24,1,83,0,
340045,Loft in Austin · 1 bedroom · 1 bed · 1.5 baths,1725752,Shanti,,78746,30.25937,-97.79249,Entire home/apt,400,1,1,2021-12-30,0.05,1,0,0,
340630,Home in Austin · ★4.74 · 2 bedrooms · 2 beds · 1 bath,531267,Shelley,,78757,30.33061,-97.72531,Entire home/apt,50,30,24,2023-03-28,0.17,2,38,3,
341382,Home in Austin · ★4.72 · 4 bedrooms · 6 beds · 2 baths,1205884,Luke And Rachel,,78702,30.26543,-97.71338,Entire home/apt,750,4,124,2019-03-17,0.89,1,0,0,
341530,Bungalow in Austin · ★4.82 · 1 bedroom · 1 bed · 1 bath,740347,Chris,,78704,30.24746,-97.75662,Entire home/apt,178,2,198,2023-04-24,1.44,2,15,5,
341596,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 1 shared bath,1733004,Julie,,78704,30.24623,-97.75904,Private room,135,2,94,2023-03-27,0.67,1,81,8,
342039,Guesthouse in Austin · ★4.93 · 1 bedroom · 1 bed · 1 bath,1735494,Steph And Joey,,78702,30.25158,-97.73147,Entire home/apt,104,1,369,2023-08-27,2.64,2,154,35,
342243,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,1736662,Teresa,,78759,30.41633,-97.75228,Private room,44,31,3,2020-02-13,0.05,1,335,0,
343462,Guest suite in Austin · ★4.89 · 1 bedroom · 1 bed · 1 bath,1742984,Rachel,,78721,30.26895,-97.68947,Entire home/apt,99,1,262,2023-09-04,1.87,1,266,16,
343889,Rental unit in Austin · ★4.74 · Studio · 1 bed · 1 bath,1744639,Darcy,,78702,30.27293,-97.72288,Entire home/apt,47,30,37,2023-07-31,0.26,1,128,7,
345221,Rental unit in Austin · ★4.38 · 2 bedrooms · 3 beds · 1 bath,1644218,Cecily,,78701,30.27247,-97.74796,Entire home/apt,299,3,8,2019-11-03,0.06,2,0,0,
345473,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 2 baths,1751224,Whitney,,78704,30.24619,-97.74569,Entire home/apt,209,3,196,2023-09-03,1.54,1,79,43,
345536,Bungalow in Austin · ★4.93 · 2 bedrooms · 3 beds · 1 bath,1752493,Gigi,,78704,30.2466,-97.76157,Entire home/apt,165,2,307,2023-08-08,2.22,2,268,31,
347572,Home in Austin · ★4.90 · 2 bedrooms · 3 beds · 1 bath,1761506,Savanna,,78702,30.26448,-97.71715,Entire home/apt,125,2,29,2020-03-01,0.21,1,0,0,
347654,Home in Austin · ★4.91 · 3 bedrooms · 3 beds · 2.5 baths,1761915,Charm,,78704,30.23661,-97.7449,Entire home/apt,525,1,67,2023-07-02,0.48,3,80,4,
347935,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1763742,Amber,,78704,30.25152,-97.76212,Entire home/apt,643,5,1,2012-03-18,0.01,1,0,0,
349447,Bungalow in Austin · ★4.84 · 1 bedroom · 1 bed · 1 bath,1770424,Jason,,78702,30.27871,-97.72332,Entire home/apt,121,1,857,2023-08-26,6.13,8,333,80,
349635,Guest suite in Austin · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,1771402,Cindie,,78703,30.29932,-97.77631,Private room,72,1,71,2022-10-23,0.58,2,25,1,
350072,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 3 baths,1714818,Jessica,,78704,30.24643,-97.76403,Entire home/apt,825,3,6,2014-11-04,0.04,1,0,0,
351865,Home in Austin · 1 bedroom · 1 bed · 1 bath,1782559,Julie,,78754,30.33345,-97.64937,Private room,75,1,0,,,1,0,0,
353261,Home in Austin · ★4.82 · 4 bedrooms · 5 beds · 3.5 baths,1789494,Lara,,78704,30.24276,-97.75211,Entire home/apt,575,3,209,2023-06-11,1.81,1,250,12,
353955,Rental unit in Austin · 2 bedrooms · 1 bed,1792021,Mykel,,78746,30.34574,-97.80069,Entire home/apt,225,3,1,2012-03-15,0.01,1,0,0,
354263,Guesthouse in Austin · ★4.90 · 1 bedroom · 2 beds · 1 bath,1752493,Gigi,,78704,30.24821,-97.76343,Entire home/apt,125,1,404,2023-09-04,2.89,2,312,39,
354513,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,1795232,Sara,,78702,30.25884,-97.73056,Entire home/apt,630,3,5,2017-03-15,0.04,1,0,0,
354569,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,2049988,Mike,,78703,30.28885,-97.76001,Entire home/apt,248,3,11,2017-07-05,0.08,1,0,0,
355176,Rental unit in Austin · ★4.85 · 1 bedroom · 1 bed · 1 bath,1798140,Scott,,78745,30.22187,-97.7747,Entire home/apt,110,30,21,2021-05-02,0.15,1,0,0,
355232,Home in Austin · ★5.0 · 3 bedrooms · 7 beds,1798084,Jeffrey,,78704,30.24748,-97.74724,Entire home/apt,1000,1,3,2017-03-19,0.02,1,365,0,
355328,Home in Austin · 1 bedroom · 1 bed · 1 bath,1798834,Joan,,78704,30.23928,-97.77907,Entire home/apt,100,1,0,,,1,0,0,
355792,Rental unit in Austin · ★4.85 · 1 bedroom · 1 bed · 1 bath,1801114,An,,78703,30.28097,-97.75393,Entire home/apt,97,2,14,2021-11-29,0.10,1,0,0,
356675,Home in Austin · 3 bedrooms · 4 beds · 2.5 baths,1805253,Trey,,78703,30.3054,-97.76974,Entire home/apt,1050,30,2,2013-06-01,0.01,1,0,0,
356719,Home in Austin · 3 bedrooms · 3 beds · 2 baths,1805524,Jai,,78723,30.30571,-97.69464,Entire home/apt,300,2,1,2012-11-20,0.01,1,0,0,
356837,Townhouse in Austin · ★4.85 · 2 bedrooms · 5 beds · 2.5 baths,1806205,Varun,,78701,30.28184,-97.74276,Entire home/apt,356,30,35,2022-07-22,0.25,3,268,0,
357529,Home in Austin · ★4.98 · 2 bedrooms · 2 beds · 1 bath,1808807,Renee,,78704,30.25478,-97.76854,Entire home/apt,190,3,356,2023-09-04,2.55,2,161,46,
358164,Cabin in Austin · ★4.95 · 1 bedroom · 2 beds · 1 private bath,1812799,Monica,,78751,30.3124,-97.72007,Private room,102,2,231,2023-06-29,1.65,1,275,23,
358643,Home in Austin · 2 bedrooms · 1 bed · 0 baths,1815367,Kathy,,78704,30.22971,-97.76695,Entire home/apt,800,1,0,,,1,0,0,
362460,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1831617,Chris,,78756,30.31744,-97.74547,Entire home/apt,625,4,0,,,1,0,0,
362525,Cottage in Austin · ★4.88 · 2 bedrooms · 1 bed · 1 bath,1827423,Vicki,,78741,30.22314,-97.71985,Entire home/apt,65,30,40,2019-10-28,0.29,1,326,0,
362662,Home in Austin · ★4.82 · 4 bedrooms · 9 beds · 4 baths,1832618,Robert,,78702,30.25313,-97.72534,Entire home/apt,471,2,109,2023-05-01,0.82,1,332,1,
363040,Guest suite in Austin · ★4.82 · Studio · 2 beds · 1 bath,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,83,1,397,2023-08-20,2.84,2,2,66,
363944,Home in Austin · ★4.94 · 5 bedrooms · 7 beds · 4 baths,1840480,Scott & Sally,,78704,30.25795,-97.77202,Entire home/apt,517,4,33,2023-05-08,0.29,12,80,2,
364025,Rental unit in Austin · ★4.69 · 1 bedroom · 2 beds · 1 bath,1839064,Adriana,,78703,30.27371,-97.75301,Entire home/apt,225,5,13,2019-03-14,0.10,1,0,0,
364269,Home in Austin · ★4.88 · 3 bedrooms · 4 beds · 2.5 baths,1840480,Scott & Sally,,78704,30.25954,-97.76978,Entire home/apt,224,4,110,2023-08-20,0.79,12,190,16,
365471,Home in Austin · ★4.82 · 3 bedrooms · 4 beds · 2.5 baths,1845598,D.K.,,78702,30.25917,-97.73425,Entire home/apt,492,1,104,2023-04-16,0.74,1,107,4,
367356,Cottage in Austin · ★4.75 · 2 bedrooms · 3 beds · 1 bath,1488733,Vacasa Texas,,78751,30.3065,-97.72278,Entire home/apt,140,1,179,2022-11-06,1.28,15,360,1,
367789,Home in Austin · 4 bedrooms · 6 beds · 4.5 baths,1856695,John,,78703,30.30549,-97.77147,Entire home/apt,2150,4,1,2014-03-17,0.01,1,0,0,
368057,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,1858184,Carlos,,78723,30.29608,-97.70658,Entire home/apt,160,72,15,2021-08-08,0.11,1,0,0,
